time,viseme,voice,exactTeacher,teacher_sil,teacher_PP,teacher_FF,teacher_TH,teacher_DD,teacher_kk,teacher_CH,teacher_SS,teacher_nn,teacher_RR,teacher_aa,teacher_E,teacher_I,teacher_O,teacher_U,The Wasbeer Prefab (2)/Body/vrc.v_aa,The Wasbeer Prefab (2)/Body/vrc.v_ch,The Wasbeer Prefab (2)/Body/vrc.v_dd,The Wasbeer Prefab (2)/Body/vrc.v_e,The Wasbeer Prefab (2)/Body/vrc.v_ff,The Wasbeer Prefab (2)/Body/vrc.v_ih,The Wasbeer Prefab (2)/Body/vrc.v_kk,The Wasbeer Prefab (2)/Body/vrc.v_nn,The Wasbeer Prefab (2)/Body/vrc.v_oh,The Wasbeer Prefab (2)/Body/vrc.v_ou,The Wasbeer Prefab (2)/Body/vrc.v_pp,The Wasbeer Prefab (2)/Body/vrc.v_rr,The Wasbeer Prefab (2)/Body/vrc.v_sil,The Wasbeer Prefab (2)/Body/vrc.v_ss,The Wasbeer Prefab (2)/Body/vrc.v_th,The Wasbeer Prefab/Body/vrc.v_aa,The Wasbeer Prefab/Body/vrc.v_ch,The Wasbeer Prefab/Body/vrc.v_dd,The Wasbeer Prefab/Body/vrc.v_e,The Wasbeer Prefab/Body/vrc.v_ff,The Wasbeer Prefab/Body/vrc.v_ih,The Wasbeer Prefab/Body/vrc.v_kk,The Wasbeer Prefab/Body/vrc.v_nn,The Wasbeer Prefab/Body/vrc.v_oh,The Wasbeer Prefab/Body/vrc.v_ou,The Wasbeer Prefab/Body/vrc.v_pp,The Wasbeer Prefab/Body/vrc.v_rr,The Wasbeer Prefab/Body/vrc.v_sil,The Wasbeer Prefab/Body/vrc.v_ss,The Wasbeer Prefab/Body/vrc.v_th,The Wasbeer Prefab (1)/Body/vrc.v_aa,The Wasbeer Prefab (1)/Body/vrc.v_ch,The Wasbeer Prefab (1)/Body/vrc.v_dd,The Wasbeer Prefab (1)/Body/vrc.v_e,The Wasbeer Prefab (1)/Body/vrc.v_ff,The Wasbeer Prefab (1)/Body/vrc.v_ih,The Wasbeer Prefab (1)/Body/vrc.v_kk,The Wasbeer Prefab (1)/Body/vrc.v_nn,The Wasbeer Prefab (1)/Body/vrc.v_oh,The Wasbeer Prefab (1)/Body/vrc.v_ou,The Wasbeer Prefab (1)/Body/vrc.v_pp,The Wasbeer Prefab (1)/Body/vrc.v_rr,The Wasbeer Prefab (1)/Body/vrc.v_sil,The Wasbeer Prefab (1)/Body/vrc.v_ss,The Wasbeer Prefab (1)/Body/vrc.v_th
3.81867,0,0.01949,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
3.84000,0,0.01538,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
3.86133,0,0.01213,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
3.88267,0,0.03533,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
3.90400,0,0.02787,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
3.92533,0,0.02199,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
3.94667,0,0.01735,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
3.96800,0,0.01369,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
3.98933,0,0.01080,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
4.01067,0,0.00852,1,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000
